name,tweet,source,criado_em,likes,retweets
Ｘｏｌｅａｎａ 🍓,"Meu pix: naturezapet.juliana@hotmail.com 

Por favor, compartilhem! Já estou muito grata por toda ajuda! 💜

#vakinhaonline #vakinhasolidaria #vaquinhaonline #vaquinhasolidária #ajudafinanceira #pcd #fibromialgia #arrecadação #celularnovo #celular #pix #doação https://t.co/ynlGpNolVy",Twitter for Android,23-05-2022 19:39:44,0,0
¯kafę19`+,"No kondomíni0 visinhos relata fedorr,Rata em Putrefação a Perukka sumiuu, Perícia Diz Homicídy0 😳🚨☠️🙃⚡#Bbc pix #pix https://t.co/PaiRzM7Pxb",Twitter Web App,23-05-2022 19:33:17,1,1
VINICIUS LOPES,"Em novembro é o mundial de jiu-jitsu para pessoas com deficiência (aka parajiu-jitsu)

https://t.co/UbAg677Npt

Quem puder doar♥️ 
Aceito #pix via DM

#bjj #jiujitsu #mma #luta #vakinha #ufcnocombate #ufc #ibjjf #cbjj #pcd #cadeirante #campanha https://t.co/jqhXkZJm8s",Twitter Web App,23-05-2022 19:30:55,0,0
Bruna,"Códigos banco bitz pagando R$30,00 disponíveis. 
Deixe seu whats aqui nos comentários quem tiver interesse 
#G1 #publi #Dinheiro #renda #indiqueeganhe #pix #bancobitz #banco #Real #lucro #Brasil #EletrobrasPublica",Twitter for Android,23-05-2022 18:20:55,1,1
pix premiado da sorte,"Escolha seu número da sorte
Cada número vale 20,00
Pague seu número, envie o comprovante
Boa Sorte!

Nossa chave:
willj300willian@gmail.com

#pixpremiado #pix #sorte #sorteio #df #capital #premio #premiado #propaganda #bsb #promoção #promocao #sorteios #sorteiogram #sorteiotop https://t.co/nNsNdsugra",Twitter Web App,23-05-2022 18:05:17,0,0
pix premiado da sorte,"Escolha seu número da sorte
Cada número vale 20,00
Pague seu número, envie o comprovante
Boa Sorte!

Nossa chave:
willj300willian@gmail.com

#pixpremiado #pix #sorte #sorteio #df #capital #premio #premiado #propaganda #bsb #promoção #promocao #sorteios #sorteiogram #sorteiotop https://t.co/YOROkhkDpf",Twitter Web App,23-05-2022 18:03:57,0,0
pix premiado da sorte,"Escolha seu número da sorte
Cada número vale 20,00
Pague seu número, envie o comprovante
Boa Sorte!

Nossa chave:
willj300willian@gmail.com

#pixpremiado #pix #sorte #sorteio #df #capital #premio #premiado #propaganda #bsb #promoção #promocao #sorteios #sorteiogram #sorteiotop https://t.co/8iTqi1XtyW",Twitter Web App,23-05-2022 17:55:29,0,0
Billy,"Grupos destinados a vendas de conteúdos 🔞

🥂 QG DAS CHEFAS 🍾 

GRUPO 1
https://t.co/8ojzN88E4j

GRUPO 2
https://t.co/SrVvqNiEk0

GRUPO 3
https://t.co/Xz75FmSiMi 

GRUPO 4
https://t.co/iO8sK1yaZZ

#sexo #hot #packhot #pack #peck #garotadopix #pix #garotasdacamera #cangirl",Twitter for Android,23-05-2022 17:20:55,0,0
Billy,"Grupos destinados a vendas de conteúdos 🔞🔞🔞

Franquia Hottie hell

https://t.co/vq7HRAurOA

https://t.co/7GstKC5qSL

#sexo #hot #packhot #pack #peck #garotadopix #pix #garotasdacamera #cangirl #strimer #private #onlifans #prive",Twitter for Android,23-05-2022 17:20:10,0,0
Billy,"As malévolas 
 Grupos destinados a vendas de conteúdos 🔞

https://t.co/WkFvCuEmbv

https://t.co/mI49gVsmnR

#sexo #hot #packhot #pack #peck #garotadopix #pix #garotasdacamera #cangirl #strimer #private #onlifans #prive",Twitter for Android,23-05-2022 17:19:03,0,0
